,freq,amp,coefA_in,coefB_in,coefA_out,coefB_out,THD_out
20,50,4,"[np.float64(1.8041124150158793e-19), np.float64(0.0002512008576430971), np.float64(-6.713233196734247e-07), np.float64(-5.661926252002517e-07), np.float64(-5.367717559682812e-07), np.float64(-5.241649168497756e-07), np.float64(-5.175618383889952e-07)]","[np.float64(-0.0), np.float64(0.07995945334854952), np.float64(-0.00010684301871876576), np.float64(-6.007312460487477e-05), np.float64(-4.271269068907457e-05), np.float64(-3.336663043856241e-05), np.float64(-2.745425629791398e-05)]","[np.float64(30.96062992125983), np.float64(-78.16777832579274), np.float64(-28.074528318103546), np.float64(34.30986063241198), np.float64(25.64810705932157), np.float64(6.861476430116572), np.float64(4.548004204283308)]","[np.float64(-0.0), np.float64(1166.9728954320758), np.float64(13.84091711999797), np.float64(21.07794567496547), np.float64(15.745820465886107), np.float64(15.24239957826059), np.float64(6.524382796037625)]",19.29846664828551
21,50,5,"[np.float64(2.3418766925686896e-20), np.float64(0.0003140010720538715), np.float64(-8.391541495915947e-07), np.float64(-7.07740781500304e-07), np.float64(-6.709646949594546e-07), np.float64(-6.552061460623796e-07), np.float64(-6.469522979858352e-07)]","[np.float64(-0.0), np.float64(0.09994931668568688), np.float64(-0.00013355377339845738), np.float64(-7.509140575609356e-05), np.float64(-5.339086336134307e-05), np.float64(-4.17082880482027e-05), np.float64(-3.4317820372392655e-05)]","[np.float64(66.33562992125985), np.float64(-1433.636679408563), np.float64(-1.1720960675015017), np.float64(40.81023173873034), np.float64(-8.008596160578941), np.float64(0.9537835775941814), np.float64(-3.3066137703790557)]","[np.float64(-0.0), np.float64(-390.8563517504288), np.float64(5.157868184485882), np.float64(-35.544787591295275), np.float64(-1.1672382145386226), np.float64(17.127920581099108), np.float64(9.110816848956896)]",15.127838099647251
22,50,9,"[np.float64(1.2819606487468604e-18), np.float64(0.0005652019296969705), np.float64(-1.5104774692652927e-06), np.float64(-1.273933406700535e-06), np.float64(-1.2077364509316606e-06), np.float64(-1.1793710629120967e-06), np.float64(-1.1645141363749174e-06)]","[np.float64(-0.0), np.float64(0.17990877003423636), np.float64(-0.00024039679211722376), np.float64(-0.0001351645303609666), np.float64(-9.610355405041817e-05), np.float64(-7.507491848676532e-05), np.float64(-6.177207667030661e-05)]","[np.float64(12.791338582677174), np.float64(421.45420503330837), np.float64(-5.842555170038072), np.float64(-373.58878342712234), np.float64(-9.008032686573191), np.float64(-160.19493978462148), np.float64(1.7662077644578011)]","[np.float64(-0.0), np.float64(-2624.0697250921526), np.float64(-31.356386776958004), np.float64(79.0523150083184), np.float64(2.512951927404046), np.float64(123.23855124841813), np.float64(0.8798815009863356)]",18.56691857785324
23,50,5,"[np.float64(2.3418766925686896e-20), np.float64(0.0003140010720538715), np.float64(-8.391541495915947e-07), np.float64(-7.07740781500304e-07), np.float64(-6.709646949594546e-07), np.float64(-6.552061460623796e-07), np.float64(-6.469522979858352e-07)]","[np.float64(-0.0), np.float64(0.09994931668568688), np.float64(-0.00013355377339845738), np.float64(-7.509140575609356e-05), np.float64(-5.339086336134307e-05), np.float64(-4.17082880482027e-05), np.float64(-3.4317820372392655e-05)]","[np.float64(-29.847194881889752), np.float64(1367.6452862169594), np.float64(24.46357824041129), np.float64(-44.16827360228999), np.float64(-4.114119689324283), np.float64(3.938552704829352), np.float64(-2.010528994375205)]","[np.float64(-0.0), np.float64(621.2212562181583), np.float64(26.220156670022842), np.float64(27.448381506987463), np.float64(12.254595580852186), np.float64(10.792977588866831), np.float64(-3.2397809309240957)]",15.387864303769831
24,50,5,"[np.float64(2.3418766925686896e-20), np.float64(0.0003140010720538715), np.float64(-8.391541495915947e-07), np.float64(-7.07740781500304e-07), np.float64(-6.709646949594546e-07), np.float64(-6.552061460623796e-07), np.float64(-6.469522979858352e-07)]","[np.float64(-0.0), np.float64(0.09994931668568688), np.float64(-0.00013355377339845738), np.float64(-7.509140575609356e-05), np.float64(-5.339086336134307e-05), np.float64(-4.17082880482027e-05), np.float64(-3.4317820372392655e-05)]","[np.float64(25.444389763779522), np.float64(-319.69242054727715), np.float64(-28.314939686535347), np.float64(32.46660324790179), np.float64(-7.928911402582122), np.float64(15.68466150683956), np.float64(-2.9968699462635198)]","[np.float64(-0.0), np.float64(1464.4932435801663), np.float64(13.254877284321891), np.float64(32.50150260512183), np.float64(5.0809668486028094), np.float64(13.268596303116952), np.float64(-2.9009252814142137)]",15.040697496811191
25,50,4,"[np.float64(1.8041124150158793e-19), np.float64(0.0002512008576430971), np.float64(-6.713233196734247e-07), np.float64(-5.661926252002517e-07), np.float64(-5.367717559682812e-07), np.float64(-5.241649168497756e-07), np.float64(-5.175618383889952e-07)]","[np.float64(-0.0), np.float64(0.07995945334854952), np.float64(-0.00010684301871876576), np.float64(-6.007312460487477e-05), np.float64(-4.271269068907457e-05), np.float64(-3.336663043856241e-05), np.float64(-2.745425629791398e-05)]","[np.float64(50.67568897637795), np.float64(-1130.6156120420508), np.float64(7.067409378871469), np.float64(18.031744552890537), np.float64(-6.365054251295051), np.float64(-5.014403255725345), np.float64(-15.127674451374396)]","[np.float64(-0.0), np.float64(-236.5905503591791), np.float64(1.7272040375596027), np.float64(-26.48330852450598), np.float64(4.2767348666827), np.float64(11.383183630922971), np.float64(-0.3472695608251358)]",20.41940250897386
26,50,0,"[np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)]","[np.float64(-0.0), np.float64(-0.0), np.float64(-0.0), np.float64(-0.0), np.float64(-0.0), np.float64(-0.0), np.float64(-0.0)]","[np.float64(-2.2379429133858255), np.float64(1.2650151771381577), np.float64(-0.08083953484758218), np.float64(3.7678606209046017), np.float64(6.234747918869274), np.float64(0.7155868321808427), np.float64(6.7252534913943585)]","[np.float64(-0.0), np.float64(0.3583048111081439), np.float64(1.7009362093197764), np.float64(1.2708777386387347), np.float64(-2.714181182651588), np.float64(-2.812528071056034), np.float64(6.718752061744258)]",14860.813312621021
27,50,1,"[np.float64(4.510281037539698e-20), np.float64(6.280021441077427e-05), np.float64(-1.6783082991835617e-07), np.float64(-1.4154815630006293e-07), np.float64(-1.341929389920703e-07), np.float64(-1.310412292124439e-07), np.float64(-1.293904595972488e-07)]","[np.float64(-0.0), np.float64(0.01998986333713738), np.float64(-2.671075467969144e-05), np.float64(-1.5018281151218693e-05), np.float64(-1.0678172672268643e-05), np.float64(-8.341657609640603e-06), np.float64(-6.863564074478495e-06)]","[np.float64(19.00861220472441), np.float64(217.5589471597195), np.float64(21.736474458619405), np.float64(-2.1509968487245326), np.float64(-3.9304075613517955), np.float64(4.262725225897197), np.float64(6.957418260446573)]","[np.float64(-0.0), np.float64(-84.99992239619614), np.float64(8.570868179284584), np.float64(9.382290894431666), np.float64(2.121899589327418), np.float64(8.770530596418116), np.float64(-3.279933456668174)]",94.33610806939426
28,50,7,"[np.float64(8.777700788442644e-19), np.float64(0.0004396015008754209), np.float64(-1.1748158094283721e-06), np.float64(-9.908370941004668e-07), np.float64(-9.393505729448183e-07), np.float64(-9.172886044867604e-07), np.float64(-9.057332171812613e-07)]","[np.float64(-0.0), np.float64(0.13992904335996167), np.float64(-0.00018697528275784), np.float64(-0.00010512796805853105), np.float64(-7.474720870588189e-05), np.float64(-5.839160326748366e-05), np.float64(-4.8044948521348924e-05)]","[np.float64(5.380905511811014), np.float64(-88.08750118932987), np.float64(-25.481772084801328), np.float64(95.38326791470462), np.float64(12.862865738095163), np.float64(16.67479501572869), np.float64(-2.418322643288515)]","[np.float64(-0.0), np.float64(2157.150459320805), np.float64(30.07871386978462), np.float64(3.096263190417377), np.float64(21.495183027846448), np.float64(-24.29604295025579), np.float64(-2.5690598945392966)]",11.049489477522478
29,50,5,"[np.float64(2.3418766925686896e-20), np.float64(0.0003140010720538715), np.float64(-8.391541495915947e-07), np.float64(-7.07740781500304e-07), np.float64(-6.709646949594546e-07), np.float64(-6.552061460623796e-07), np.float64(-6.469522979858352e-07)]","[np.float64(-0.0), np.float64(0.09994931668568688), np.float64(-0.00013355377339845738), np.float64(-7.509140575609356e-05), np.float64(-5.339086336134307e-05), np.float64(-4.17082880482027e-05), np.float64(-3.4317820372392655e-05)]","[np.float64(59.344734251968504), np.float64(-1428.9974869121281), np.float64(4.300044472437716), np.float64(-36.92348026912583), np.float64(1.2013050817539879), np.float64(18.68211568053332), np.float64(1.810663978023073)]","[np.float64(-0.0), np.float64(441.33282587185073), np.float64(-0.8936167165298965), np.float64(-21.85247216101599), np.float64(-3.06948281298042), np.float64(-3.8402710325678155), np.float64(6.569462955334145)]",14.24136161341706
